ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-001,Anderson County,Texas,67.2,1.8,119,65.4
TX-003,Andrews County,Texas,65.4,3.4,129,61.9
TX-005,Angelina County,Texas,68.8,2.7,129,66.1
TX-007,Aransas County,Texas,73.5,3.1,127,70.3
TX-009,Archer County,Texas,66,2.5,126,63.5
TX-011,Armstrong County,Texas,60.9,3,126,57.9
TX-013,Atascosa County,Texas,72.1,2.3,126,69.8
TX-015,Austin County,Texas,71.9,3.9,129,68
TX-017,Bailey County,Texas,59.7,2.6,125,57.1
TX-019,Bandera County,Texas,68.9,2.8,128,66.1
TX-021,Bastrop County,Texas,70.8,3.4,128,67.4
TX-023,Baylor County,Texas,66,2.6,124,63.4
TX-025,Bee County,Texas,72.9,2.5,126,70.3
TX-027,Bell County,Texas,68.9,3.2,126,65.7
TX-029,Bexar County,Texas,71.3,2.8,128,68.5
TX-031,Blanco County,Texas,69.1,2.9,129,66.1
TX-033,Borden County,Texas,65,2.2,123,62.9
TX-035,Bosque County,Texas,67.8,2.4,126,65.4
TX-037,Bowie County,Texas,65.4,2.3,124,63.1
TX-039,Brazoria County,Texas,72,3.1,127,68.9
TX-041,Brazos County,Texas,70.4,3.3,128,67
TX-043,Brewster County,Texas,67.9,3.3,128,64.6
TX-045,Briscoe County,Texas,61.9,2.5,124,59.3
TX-047,Brooks County,Texas,75.5,3.3,127,72.2
TX-049,Brown County,Texas,67.6,3.2,127,64.4
TX-051,Burleson County,Texas,70.8,3.7,129,67
TX-053,Burnet County,Texas,68.9,2.9,128,66
TX-055,Caldwell County,Texas,71.6,3.7,129,67.8
TX-057,Calhoun County,Texas,72.8,3.1,127,69.7
TX-059,Callahan County,Texas,66.2,2.5,126,63.7
TX-061,Cameron County,Texas,76.2,2.6,126,73.7
TX-063,Camp County,Texas,66.1,2.3,124,63.9
TX-065,Carson County,Texas,60,3.1,126,56.8
TX-067,Cass County,Texas,65.9,1.8,121,64
TX-069,Castro County,Texas,59.5,2.9,126,56.7
TX-071,Chambers County,Texas,71.3,3.1,128,68.2
TX-073,Cherokee County,Texas,67.4,1.9,123,65.4
TX-075,Childress County,Texas,63.5,2.1,120,61.3
TX-077,Clay County,Texas,65.7,2.3,124,63.4
TX-079,Cochran County,Texas,60.4,2.5,123,58
TX-081,Coke County,Texas,66.9,3,127,63.9
TX-083,Coleman County,Texas,67.3,3.1,128,64.1
TX-085,Collin County,Texas,66.3,2.4,124,63.8
TX-087,Collingsworth County,Texas,61.8,2,120,59.8
TX-089,Colorado County,Texas,72.4,4.2,129,68.2
TX-091,Comal County,Texas,70.2,2.9,128,67.3
TX-093,Comanche County,Texas,67.7,3.4,128,64.3
TX-095,Concho County,Texas,67.7,3.4,129,64.2
TX-097,Cooke County,Texas,65.3,1.9,119,63.4
TX-099,Coryell County,Texas,68.2,2.8,127,65.4
TX-101,Cottle County,Texas,64.2,2.1,120,62.2
TX-103,Crane County,Texas,68.9,4.1,129,64.8
TX-105,Crockett County,Texas,68.2,3.5,129,64.8
TX-107,Crosby County,Texas,62.4,2.2,122,60.2
TX-109,Culberson County,Texas,64.6,3.5,129,61.1
TX-111,Dallam County,Texas,56,1.5,113,54.5
TX-113,Dallas County,Texas,67.6,2.3,124,65.3
TX-115,Dawson County,Texas,63.7,1.8,119,61.9
TX-117,Deaf Smith County,Texas,58.9,3.2,129,55.7
TX-119,Delta County,Texas,65.4,2,120,63.4
TX-121,Denton County,Texas,66.9,2.4,125,64.5
TX-123,DeWitt County,Texas,72.7,3.6,129,69.1
TX-125,Dickens County,Texas,64,2.2,122,61.8
TX-127,Dimmit County,Texas,73.7,2.9,127,70.7
TX-129,Donley County,Texas,61.2,2.5,122,58.8
TX-131,Duval County,Texas,74.1,2.9,126,71.2
TX-133,Eastland County,Texas,66.4,2.7,126,63.7
TX-135,Ector County,Texas,67,4,129,63
