ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-001,Anderson County,Texas,66,0.6,89,65.4
TX-003,Andrews County,Texas,64.3,2.4,122,61.9
TX-005,Angelina County,Texas,67.7,1.6,119,66.1
TX-007,Aransas County,Texas,73.7,3.4,128,70.3
TX-009,Archer County,Texas,64.2,0.7,90,63.5
TX-011,Armstrong County,Texas,60.4,2.5,119,57.9
TX-013,Atascosa County,Texas,71.4,1.6,116,69.8
TX-015,Austin County,Texas,70.3,2.3,121,68
TX-017,Bailey County,Texas,59.2,2.2,120,57.1
TX-019,Bandera County,Texas,68,1.9,119,66.1
TX-021,Bastrop County,Texas,69.8,2.4,123,67.4
TX-023,Baylor County,Texas,64.4,1,99,63.4
TX-025,Bee County,Texas,72.5,2.1,124,70.3
TX-027,Bell County,Texas,67.8,2.1,118,65.7
TX-029,Bexar County,Texas,70.2,1.7,117,68.5
TX-031,Blanco County,Texas,67.7,1.6,116,66.1
TX-033,Borden County,Texas,64,1.1,104,62.9
TX-035,Bosque County,Texas,66.6,1.2,106,65.4
TX-037,Bowie County,Texas,64.2,1,105,63.1
TX-039,Brazoria County,Texas,71.8,2.9,126,68.9
TX-041,Brazos County,Texas,68.8,1.8,118,67
TX-043,Brewster County,Texas,67.3,2.7,125,64.6
TX-045,Briscoe County,Texas,61.5,2.2,119,59.3
TX-047,Brooks County,Texas,75,2.8,122,72.2
TX-049,Brown County,Texas,66.2,1.8,116,64.4
TX-051,Burleson County,Texas,69.1,2.1,118,67
TX-053,Burnet County,Texas,67.5,1.4,111,66
TX-055,Caldwell County,Texas,70.5,2.6,125,67.8
TX-057,Calhoun County,Texas,73.1,3.4,128,69.7
TX-059,Callahan County,Texas,64.7,1,98,63.7
TX-061,Cameron County,Texas,76,2.3,125,73.7
TX-063,Camp County,Texas,65,1.2,103,63.9
TX-065,Carson County,Texas,59.7,2.9,124,56.8
TX-067,Cass County,Texas,64.5,0.5,82,64
TX-069,Castro County,Texas,58.8,2.1,121,56.7
TX-071,Chambers County,Texas,71,2.7,127,68.2
TX-073,Cherokee County,Texas,66.4,1,100,65.4
TX-075,Childress County,Texas,63,1.7,111,61.3
TX-077,Clay County,Texas,63.9,0.6,84,63.4
TX-079,Cochran County,Texas,60,2,120,58
TX-081,Coke County,Texas,65.6,1.7,113,63.9
TX-083,Coleman County,Texas,66.1,1.9,116,64.1
TX-085,Collin County,Texas,65.1,1.3,105,63.8
TX-087,Collingsworth County,Texas,61.4,1.6,112,59.8
TX-089,Colorado County,Texas,71.4,3.2,126,68.2
TX-091,Comal County,Texas,69.1,1.8,118,67.3
TX-093,Comanche County,Texas,66,1.6,117,64.3
TX-095,Concho County,Texas,66.3,2.1,118,64.2
TX-097,Cooke County,Texas,64,0.5,93,63.4
TX-099,Coryell County,Texas,67.1,1.7,114,65.4
TX-101,Cottle County,Texas,63.8,1.6,114,62.2
TX-103,Crane County,Texas,67.7,2.9,124,64.8
TX-105,Crockett County,Texas,67.1,2.3,124,64.8
TX-107,Crosby County,Texas,61.9,1.7,117,60.2
TX-109,Culberson County,Texas,64.1,3.1,127,61.1
TX-111,Dallam County,Texas,56.4,1.9,118,54.5
TX-113,Dallas County,Texas,66.5,1.2,99,65.3
TX-115,Dawson County,Texas,63.1,1.2,107,61.9
TX-117,Deaf Smith County,Texas,58.2,2.5,122,55.7
TX-119,Delta County,Texas,64.6,1.2,101,63.4
TX-121,Denton County,Texas,65.5,1,102,64.5
TX-123,DeWitt County,Texas,72.1,3,127,69.1
TX-125,Dickens County,Texas,63.2,1.4,111,61.8
TX-127,Dimmit County,Texas,72.9,2.2,123,70.7
TX-129,Donley County,Texas,60.8,2,116,58.8
TX-131,Duval County,Texas,73.2,2,118,71.2
TX-133,Eastland County,Texas,64.7,1,100,63.7
TX-135,Ector County,Texas,65.7,2.7,122,63
TX-137,Edwards County,Texas,67.5,2.4,125,65.1
TX-139,Ellis County,Texas,66.5,0.7,92,65.8
TX-141,El Paso County,Texas,65.9,3.7,127,62.2
TX-143,Erath County,Texas,65.8,1.6,113,64.2
TX-145,Falls County,Texas,67.4,1.6,110,65.8
TX-147,Fannin County,Texas,64.4,1.4,109,63
TX-149,Fayette County,Texas,70.5,2.6,125,67.9
TX-151,Fisher County,Texas,64.9,1.7,115,63.2
TX-153,Floyd County,Texas,60.6,1.7,116,58.9
TX-155,Foard County,Texas,64.2,1.4,111,62.7
TX-157,Fort Bend County,Texas,71.6,3,125,68.6
TX-159,Franklin County,Texas,65,1.4,108,63.6
TX-161,Freestone County,Texas,66.3,0.6,92,65.8
TX-163,Frio County,Texas,71.5,1.8,118,69.7
TX-165,Gaines County,Texas,62.8,1.9,122,60.9
TX-167,Galveston County,Texas,72.2,3.3,128,68.9
TX-169,Garza County,Texas,63.7,1.5,111,62.2
TX-171,Gillespie County,Texas,66.3,1.5,111,64.9
TX-173,Glasscock County,Texas,65.3,2.1,118,63.2
TX-175,Goliad County,Texas,72.7,2.9,127,69.8
TX-177,Gonzales County,Texas,71.4,2.7,126,68.7
TX-179,Gray County,Texas,59.8,2.5,121,57.3
TX-181,Grayson County,Texas,64.2,0.8,98,63.4
TX-183,Gregg County,Texas,65.2,0.1,68,65.1
TX-185,Grimes County,Texas,69,1.9,120,67.1
TX-187,Guadalupe County,Texas,70.6,2.2,125,68.3
TX-189,Hale County,Texas,60.2,2,121,58.2
TX-191,Hall County,Texas,62.7,1.9,114,60.9
